UFID,GRND_FLR,HEIGHT,CONT,ABSOLUTE_HEIGHT,latitude,longitude
0000410832472810387900000000,0.0,4.0,7.030202612710285,11.030202612710285,36.00696005046453,129.33912061486902
2007410287902809684200000000,29.0,40.5,6.878905923268936,47.37890592326894,36.00644387785125,129.33306671245663
2007410351882809369500000000,24.0,32.5,6.866954159074178,39.366954159074176,36.00614673809172,129.33376741292756
2012410668572810359500000000,5.0,11.0,6.061620536969651,17.061620536969652,36.006969821577194,129.33730347715698
2008230147602785279800000000,5.0,9.0,5.9615016126943345,14.961501612694335,36.00666718914003,129.33501659806763
0000409842942807973500000000,0.0,4.0,5.0,9.0,36.00499919867596,129.32809011910317
2012410520702810341100000000,4.0,6.5,5.754765909171707,12.254765909171706,36.006985218377324,129.3356641334734
0000409809392807885800000000,0.0,4.0,5.0,9.0,36.00492746192343,129.32771598657308
2011411247022809791700000000,1.0,2.5,4.211650108003274,6.711650108003274,36.0063335074602,129.3436990127611
2007410343792808562300000000,24.0,32.5,7.070954307209112,39.570954307209114,36.00542154988565,129.33365637312167
2007410216342808691300000000,25.0,34.0,6.64831429161493,40.64831429161493,36.00556518434516,129.33224736528615
2007410276772808545200000000,29.0,40.5,6.579353613709946,47.07935361370995,36.00542063057183,129.33291313548065
2007410240102809824200000000,25.0,34.0,6.808599255238621,40.80859925523862,36.0065802554332,129.3325406629223
2007410186812809535000000000,25.0,34.0,6.984115228652102,40.9841152286521,36.006331332755046,129.33194241562708
2007410399142810135500000000,24.0,32.5,6.09358385314828,38.59358385314828,36.0068262805404,129.33431147842236
2007410414372809633700000000,3.0,6.0,6.385718484718051,12.385718484718051,36.00637111421248,129.33446699238232
2007410136912809392600000000,25.0,34.0,5.755702815343872,39.755702815343874,36.00621381987818,129.33138557074457
2007410396822808501600000000,25.0,34.0,7.13082840107162,41.13082840107162,36.00535553816244,129.33424247255763
2007410163232808686800000000,24.0,32.5,6.0854442171303615,38.58544421713036,36.00557256469387,129.33165857435398
2007410407642809312800000000,25.0,34.0,6.615191990335577,40.615191990335575,36.00608359395605,129.33438390375667
